mult_i_j_k mult_i_k_j mult_j_i_k mult_j_k_i mult_k_i_j mult_k_j_i
1 0 0 0 0 0 0 
2 0 0 0 0 0 0 
3 0 0 0 0 0 0 
4 0 0 0 0 0 0 
5 0 0 0 0 0 0 
6 0 0 0 0 0 0 
7 0 0 0 0 0 0 
8 0 0 0 0 0 0 
9 0 0 0 0 0 0 
10 0 0 0 0 0 0 
11 0 0 0 0 0 0 
12 0 0 0 0 0 0 
13 0 0 0 0 0 0 
14 0 0 0 0 0 0 
15 0 0 0 0 0 0 
16 0 0 0 0 0 0 
17 0 0 0 0 0 0 
18 0 0 0 0 0 0 
19 0 0 0 0 0 0 
20 0 0 0 0 0 0 
21 0 0 0 0 0 0 
22 0 0 0 0 0 0 
23 0 0 0 0 0 0 
24 0 0 0 0 0 0 
25 0 0 0 0 0 0 
26 0 0 0 0.05 0 0.05 
27 0 0 0 0.15 0 0 
28 0 0 0 0.2 0 0.15 
29 0 0 0 0.2 0 0.15 
30 0 0 0 0.4 0 0.4 
31 0 0 0 0.2 0 0.15 
32 0 0 0 0.25 0 0.3 
33 0 0 0 0.45 0 0.45 
34 0 0 0 0.5 0 0.5 
35 0 0 0 0.45 0 0.45 
36 0 0 0 0.45 0 0.45 
37 0 0 0 0.5 0 0.5 
38 0 0 0 0.5 0 0.5 
39 0 0 0 0.45 0 0.45 
40 0 0 0 0.65 0.05 0.75 
41 0 0 0 0.95 0.25 0.95 
42 0 0 0 0.85 0.2 0.9 
43 0 0.05 0 0.85 0.45 0.85 
44 0 0 0 0.45 0.4 0.45 
45 0 0 0 0.45 0.35 0.5 
46 0.05 0 0 0.45 0.45 0.5 
47 0 0 0 0.45 0.45 0.5 
48 0.1 0.25 0.15 1.25 0.45 1.25 
49 0.05 0.45 0.45 1.15 0.45 1.15 
50 0.05 0.45 0.45 1.2 0.5 1.3 
51 0.2 0.45 0.45 1.15 0.5 1.2 
52 0.3 0.45 0.45 1.2 0.6 1.25 
53 0.15 0.45 0.4 1.05 0.6 1.05 
54 0 0.4 0.05 0.6 0.45 0.9 
55 0 0.4 0 0.9 0.45 0.9 
56 0 0.45 0.2 0.95 0.5 1 
57 0.1 0.45 0.45 1 0.55 1.05 
58 0.05 0.45 0.45 1.25 0.75 1.35 
59 0.35 0.5 0.45 0.9 0.9 0.95 
60 0.45 0.5 0.45 1.5 0.9 1.6 
61 0.45 0.5 0.5 2.2 1 2.25 
62 0.45 0.55 0.45 2.05 1.2 2.15 
63 0.5 0.75 0.6 2.35 1.2 2.6 
64 0.45 0.55 0.5 1.8 1 1.9 
65 0.45 0.5 0.45 1.8 0.95 1.8 
66 0.45 0.5 0.45 1.85 1.05 1.9 
67 0.45 0.45 0.45 1.75 1.05 1.8 
68 0.45 0.45 0.45 1.85 1.1 2.15 
69 0.45 0.6 0.5 1.85 1.35 2.2 
70 0.45 0.7 0.45 1.9 1.3 2.3 
71 0.5 0.8 0.55 1.85 1.35 2.15 
72 0.5 0.9 0.55 2 1.4 2.35 
73 0.45 0.9 0.9 2.35 1.45 2.5 
74 0.5 0.9 0.9 2.3 1.6 2.45 
75 0.85 1.1 1 2.65 1.8 2.9 
76 0.95 1.15 1.1 2.75 1.9 3 
77 1.1 1.25 1.15 3 2.1 3.3 
78 1.05 1.3 1.1 2.75 2.05 3 
79 1.1 1.1 1.1 2.6 2.05 3.1 
80 0.95 1.05 0.95 2.8 1.95 3.1 
81 1.2 1.45 1.25 3.25 2.3 3.6 
82 1.15 1.45 1.15 3.1 2.45 3.55 
83 1.55 1.85 1.7 4.2 2.85 4.55 
84 1.2 1.5 1.55 3.55 2.5 4.05 
85 1.15 1.5 1.4 3.3 2.55 3.7 
86 0.95 1.35 1.35 3.3 2.4 3.7 
87 1.4 1.55 1.5 3.55 2.9 4.25 
88 1.45 1.5 1.4 3.55 2.55 4 
89 1.35 1.45 1.4 3.4 2.8 4.05 
90 1.35 1.55 1.5 3.75 2.75 4.35 
91 1.75 2.1 1.8 4.35 3.4 4.45 
92 1.55 1.95 1.6 4.45 3 4.9 
93 1.55 1.9 1.6 4.1 3.4 4.65 
94 1.4 1.85 1.8 3.5 3.3 4.1 
95 1.75 1.95 1.8 4.05 3.35 4.6 
96 2.1 2.3 2.15 5.1 3.7 5.55 
97 2 2.15 2 4.25 3.65 5.1 
98 2.1 2.55 2.4 4.8 4 5.55 
99 2 2.35 2.1 4.75 4 5.35 
100 2 2.45 2.15 4.95 3.95 5.45 
101 2 2.35 2.1 4.75 4.05 5.4 
102 2.5 2.85 2.65 6 4.55 6.45 
103 2.65 3.1 2.85 5.5 4.9 6.45 
104 2.5 2.8 2.55 5.4 4.75 6.4 
105 2.75 3.15 2.75 6.25 4.85 6.9 
106 2.5 3.05 2.6 5.75 4.8 6.5 
107 2.55 3 2.65 6.15 4.9 7.05 
108 2.3 2.7 2.35 6.25 4.7 6.7 
