transpose_i_j transpose_j_i
1 0 0 
2 0 0 
3 0 0 
4 0 0 
5 0 0 
6 0 0 
7 0.1 0 
8 0 0.2 
9 0.1 0.2 
10 0.1 0.3 
11 0.1 0.3 
12 0.6 0.6 
13 0.5 0.5 
14 0.9 1.5 
15 0.9 1.2 
16 0.9 1.4 
17 1.1 1.4 
18 1.3 1.7 
19 1.7 2.2 
20 2.1 2.7 
21 2.4 2.3 
22 2.3 3.3 
23 3.4 4.4 
24 3.5 3.1 
25 3.5 5.3 
26 3.1 4.3 
27 3.4 4.6 
28 3.9 6.2 
29 3.8 4.6 
30 4.4 5.3 
31 4.1 5.1 
32 4.5 6.7 
33 5 92.7 
34 7.2 6.6 
35 6.5 8.5 
36 7.1 8.8 
37 7.6 10.9 
38 7.6 8.7 
39 9.2 8.6 
40 9.5 9.7 
41 10.9 9.7 
42 9.6 9.5 
43 10.7 10.2 
44 10.3 10.4 
45 10.2 10.8 
46 10.8 13.6 
47 13.6 11.9 
48 12 13.5 
49 13.1 13.7 
50 12.9 15 
51 13.4 15.2 
52 12.8 14.9 
53 13.5 15.4 
54 14.5 15.6 
55 14 14.6 
56 14.8 16.7 
57 15.3 16.8 
58 14.5 15.7 
59 15.6 17.9 
60 19 20.9 
61 19.8 21.7 
62 18.4 22.4 
63 18.5 19.7 
64 18.6 20.2 
65 19.4 20.3 
66 19.5 22.5 
67 21.4 24 
68 22.1 21.2 
69 22.6 25.6 
70 23.2 25.6 
71 24.3 27.1 
72 22.9 25.4 
73 24.1 26.3 
74 24.7 25.4 
75 22.4 24.4 
76 24 27.1 
77 27.5 30.1 
78 29.2 31 
79 29.3 31.5 
80 29.3 31.1 
81 31.4 31.8 
82 30.7 31.1 
83 30.2 32.8 
84 31.3 30.1 
85 31.4 32.7 
86 27.4 28.9 
87 27.3 30.5 
88 30.1 30.2 
89 33.2 34.6 
90 31.3 33.9 
91 34.5 43.6 
92 39.6 48.6 
93 45.8 52.5 
94 49.4 56.2 
95 43.6 44.1 
96 39.8 39.5 
97 38.7 39.9 
98 39.6 40.5 
99 37.6 39.5 
100 38.2 38.2 
101 39.2 36.6 
102 39.6 41.3 
103 40.1 39.5 
104 38.5 39.6 
105 39.3 41.8 
106 40.2 39.8 
107 41.1 44 
108 41.9 44.7 
109 49.4 51.7 
110 49.6 76.6 
111 49.9 51.9 
112 48.3 49.3 
113 55.1 56.9 
114 52.7 53.2 
115 52.1 55.1 
116 49.6 50.4 
117 51.2 53.7 
118 49.3 51.2 
119 50 49.6 
120 66.2 52.4 
121 52 53 
122 50.5 51 
123 53.4 59.4 
124 73.8 78.5 
125 58.6 66.6 
126 66.4 73.3 
127 73.2 63.2 
128 60.8 63 
129 71.2 73.8 
130 68 69.7 
131 63.9 64.7 
132 62 63.7 
133 61.3 62.2 
134 72.7 74.2 
135 60 62.3 
136 61.6 63.7 
137 64.1 66.8 
138 72.1 82.9 
139 70 88.1 
140 68.4 87.8 
